"URL","ASIN","Title","Brand","Fulfillment","Category","BSR","Subcategory","Price","Price Trend (90 days) (%)","Monthly Sales","Sales Trend (90 days) (%)","Monthly Revenue","Review Count","Reviews Rating","Seller","Number of Active Sellers","Last Year Sales","Sales Year Over Year (%)","Size Tier","Length","Width","Height","Weight","Storage Fee (Jan - Sep)","Storage Fee (Oct - Dec)","Best Sales Period","Age (Month)","Number of Images","Variation Count","Sales to Reviews"
"https://amazon.com/dp/B00I5612V2","B00I5612V2","Gomenol Honey Rangel Herbal Supplement 4 oz","N/A","FBA","Grocery & Gourmet Food",149313,"Honey",12.23,-3,29,33,354.67,80,4.3,"Bleam",4,366,-20,"Large Standard-Size",2.2,2.24,4.96,0.37,12.31,33.95,"12/01/2022",129,5,0,0.37
"https://amazon.com/dp/B0050CLJRG","B0050CLJRG","Black Seed Paste by Sweet Sunnah's Raw Premium Grade Wildflower Unrefined & Unfiltered 100% Cold pressed Black Seed and Honey Herbal blend","Sweet Sunnah","FBA","Grocery & Gourmet Food",188297,"Honey",18,"N/A",8,-91,144,20,3.8,"SweetSunnah© Salam Nutrition, Inc.",1,251,661,"Large Standard-Size",6.2,2.7,3.3,1.2,27.81,76.73,"12/01/2023",161,2,0,0.41
"https://amazon.com/dp/B0BPZ84GSJ","B0BPZ84GSJ","Amazing Herbs Raw Natural Honey - Herbal Honey Infused with Ginseng, Ginger, Ginkgo Extracts & Pure Black Seed Oil, Non GMO, Gluten Free Immune Booster - Honeyzest Energizing Straws, 100 Count","Amazing Herbs","FBA","Grocery & Gourmet Food",327449,"Honey",8.49,-5,6,240,50.94,4,1,"Healthy Pantry",1,130,"N/A","Small Standard-Size",7.5,3,0.25,0.15,2.83,7.81,"06/01/2024",22,2,0,1.38
"https://amazon.com/dp/B0009J69M0","B0009J69M0","Amazing Herbs Raw Natural Honey - Herbal Honey Infused with Hyssop, Chamomile, Thyme Extracts & Pure Black Seed Oil, Non GMO, Gluten Free Immune Booster - Honeyzest Soothing Blend, 16 Fl Oz","Amazing Herbs","FBA","Grocery & Gourmet Food",338770,"Honey",19.09,14,0,-120,0,25,3.9,"Healthy Pantry",1,40,-37,"Large Standard-Size",5.5,2.9,1.8,0.9,14.45,39.87,"02/01/2023",207,4,0,0
